[CPIAUCSL | 1/139 | month_open] 2015-01 as of 2015-01-01
[CPIAUCSL | 1/139 | mid_month] 2015-01 as of 2015-01-15
[CPIAUCSL | 1/139 | month_end] 2015-01 as of 2015-01-31
[CPIAUCSL | 1/139 | pre_release] 2015-01 as of 2015-02-25
[CPIAUCSL | 2/139 | month_open] 2015-02 as of 2015-02-01
[CPIAUCSL | 2/139 | mid_month] 2015-02 as of 2015-02-15
[CPIAUCSL | 2/139 | month_end] 2015-02 as of 2015-02-28
[CPIAUCSL | 2/139 | pre_release] 2015-02 as of 2015-03-23
[CPIAUCSL | 3/139 | month_open] 2015-03 as of 2015-03-01
[CPIAUCSL | 3/139 | mid_month] 2015-03 as of 2015-03-15
[CPIAUCSL | 3/139 | month_end] 2015-03 as of 2015-03-31
[CPIAUCSL | 3/139 | pre_release] 2015-03 as of 2015-04-16
[CPIAUCSL | 4/139 | month_open] 2015-04 as of 2015-04-01
[CPIAUCSL | 4/139 | mid_month] 2015-04 as of 2015-04-15
[CPIAUCSL | 4/139 | month_end] 2015-04 as of 2015-04-30
[CPIAUCSL | 4/139 | pre_release] 2015-04 as of 2015-05-21
[CPIAUCSL | 5/139 | month_open] 2015-05 as of 2015-05-01
[CPIAUCSL | 5/139 | mid_month] 2015-05 as of 2015-05-15
[CPIAUCSL | 5/139 | month_end] 2015-05 as of 2015-05-31
[CPIAUCSL | 5/139 | pre_release] 2015-05 as of 2015-06-17
[CPIAUCSL | 6/139 | month_open] 2015-06 as of 2015-06-01
[CPIAUCSL | 6/139 | mid_month] 2015-06 as of 2015-06-15
[CPIAUCSL | 6/139 | month_end] 2015-06 as of 2015-06-30
[CPIAUCSL | 6/139 | pre_release] 2015-06 as of 2015-07-16
[CPIAUCSL | 7/139 | month_open] 2015-07 as of 2015-07-01
[CPIAUCSL | 7/139 | mid_month] 2015-07 as of 2015-07-15
[CPIAUCSL | 7/139 | month_end] 2015-07 as of 2015-07-31
[CPIAUCSL | 7/139 | pre_release] 2015-07 as of 2015-08-18
[CPIAUCSL | 8/139 | month_open] 2015-08 as of 2015-08-01
[CPIAUCSL | 8/139 | mid_month] 2015-08 as of 2015-08-15
[CPIAUCSL | 8/139 | month_end] 2015-08 as of 2015-08-31
[CPIAUCSL | 8/139 | pre_release] 2015-08 as of 2015-09-15
[CPIAUCSL | 9/139 | month_open] 2015-09 as of 2015-09-01
[CPIAUCSL | 9/139 | mid_month] 2015-09 as of 2015-09-15
[CPIAUCSL | 9/139 | month_end] 2015-09 as of 2015-09-30
[CPIAUCSL | 9/139 | pre_release] 2015-09 as of 2015-10-14
[CPIAUCSL | 10/139 | month_open] 2015-10 as of 2015-10-01
[CPIAUCSL | 10/139 | mid_month] 2015-10 as of 2015-10-15
[CPIAUCSL | 10/139 | month_end] 2015-10 as of 2015-10-31
[CPIAUCSL | 10/139 | pre_release] 2015-10 as of 2015-11-16
[CPIAUCSL | 11/139 | month_open] 2015-11 as of 2015-11-01
[CPIAUCSL | 11/139 | mid_month] 2015-11 as of 2015-11-15
[CPIAUCSL | 11/139 | month_end] 2015-11 as of 2015-11-30
[CPIAUCSL | 11/139 | pre_release] 2015-11 as of 2015-12-14
[CPIAUCSL | 12/139 | month_open] 2015-12 as of 2015-12-01
[CPIAUCSL | 12/139 | mid_month] 2015-12 as of 2015-12-15
[CPIAUCSL | 12/139 | month_end] 2015-12 as of 2015-12-31
[CPIAUCSL | 12/139 | pre_release] 2015-12 as of 2016-01-19
[CPIAUCSL | 13/139 | month_open] 2016-01 as of 2016-01-01
[CPIAUCSL | 13/139 | mid_month] 2016-01 as of 2016-01-15
[CPIAUCSL | 13/139 | month_end] 2016-01 as of 2016-01-31
[CPIAUCSL | 13/139 | pre_release] 2016-01 as of 2016-02-18
[CPIAUCSL | 14/139 | month_open] 2016-02 as of 2016-02-01
[CPIAUCSL | 14/139 | mid_month] 2016-02 as of 2016-02-15
[CPIAUCSL | 14/139 | month_end] 2016-02 as of 2016-02-29
[CPIAUCSL | 14/139 | pre_release] 2016-02 as of 2016-03-15
[CPIAUCSL | 15/139 | month_open] 2016-03 as of 2016-03-01
[CPIAUCSL | 15/139 | mid_month] 2016-03 as of 2016-03-15
[CPIAUCSL | 15/139 | month_end] 2016-03 as of 2016-03-31
[CPIAUCSL | 15/139 | pre_release] 2016-03 as of 2016-04-13
[CPIAUCSL | 16/139 | month_open] 2016-04 as of 2016-04-01
[CPIAUCSL | 16/139 | mid_month] 2016-04 as of 2016-04-15
[CPIAUCSL | 16/139 | month_end] 2016-04 as of 2016-04-30
[CPIAUCSL | 16/139 | pre_release] 2016-04 as of 2016-05-16
[CPIAUCSL | 17/139 | month_open] 2016-05 as of 2016-05-01
[CPIAUCSL | 17/139 | mid_month] 2016-05 as of 2016-05-15
[CPIAUCSL | 17/139 | month_end] 2016-05 as of 2016-05-31
[CPIAUCSL | 17/139 | pre_release] 2016-05 as of 2016-06-15
[CPIAUCSL | 18/139 | month_open] 2016-06 as of 2016-06-01
[CPIAUCSL | 18/139 | mid_month] 2016-06 as of 2016-06-15
[CPIAUCSL | 18/139 | month_end] 2016-06 as of 2016-06-30
[CPIAUCSL | 18/139 | pre_release] 2016-06 as of 2016-07-14
[CPIAUCSL | 19/139 | month_open] 2016-07 as of 2016-07-01
[CPIAUCSL | 19/139 | mid_month] 2016-07 as of 2016-07-15
[CPIAUCSL | 19/139 | month_end] 2016-07 as of 2016-07-31
[CPIAUCSL | 19/139 | pre_release] 2016-07 as of 2016-08-15
[CPIAUCSL | 20/139 | month_open] 2016-08 as of 2016-08-01
[CPIAUCSL | 20/139 | mid_month] 2016-08 as of 2016-08-15
[CPIAUCSL | 20/139 | month_end] 2016-08 as of 2016-08-31
[CPIAUCSL | 20/139 | pre_release] 2016-08 as of 2016-09-15
[CPIAUCSL | 21/139 | month_open] 2016-09 as of 2016-09-01
[CPIAUCSL | 21/139 | mid_month] 2016-09 as of 2016-09-15
[CPIAUCSL | 21/139 | month_end] 2016-09 as of 2016-09-30
[CPIAUCSL | 21/139 | pre_release] 2016-09 as of 2016-10-17
[CPIAUCSL | 22/139 | month_open] 2016-10 as of 2016-10-01
[CPIAUCSL | 22/139 | mid_month] 2016-10 as of 2016-10-15
[CPIAUCSL | 22/139 | month_end] 2016-10 as of 2016-10-31
[CPIAUCSL | 22/139 | pre_release] 2016-10 as of 2016-11-16
[CPIAUCSL | 23/139 | month_open] 2016-11 as of 2016-11-01
[CPIAUCSL | 23/139 | mid_month] 2016-11 as of 2016-11-15
[CPIAUCSL | 23/139 | month_end] 2016-11 as of 2016-11-30
[CPIAUCSL | 23/139 | pre_release] 2016-11 as of 2016-12-14
[CPIAUCSL | 24/139 | month_open] 2016-12 as of 2016-12-01
[CPIAUCSL | 24/139 | mid_month] 2016-12 as of 2016-12-15
[CPIAUCSL | 24/139 | month_end] 2016-12 as of 2016-12-31
[CPIAUCSL | 24/139 | pre_release] 2016-12 as of 2017-01-17
[CPIAUCSL | 25/139 | month_open] 2017-01 as of 2017-01-01
[CPIAUCSL | 25/139 | mid_month] 2017-01 as of 2017-01-15
[CPIAUCSL | 25/139 | month_end] 2017-01 as of 2017-01-31
[CPIAUCSL | 25/139 | pre_release] 2017-01 as of 2017-02-14
[CPIAUCSL | 26/139 | month_open] 2017-02 as of 2017-02-01
[CPIAUCSL | 26/139 | mid_month] 2017-02 as of 2017-02-15
[CPIAUCSL | 26/139 | month_end] 2017-02 as of 2017-02-28
[CPIAUCSL | 26/139 | pre_release] 2017-02 as of 2017-03-14
[CPIAUCSL | 27/139 | month_open] 2017-03 as of 2017-03-01
[CPIAUCSL | 27/139 | mid_month] 2017-03 as of 2017-03-15
[CPIAUCSL | 27/139 | month_end] 2017-03 as of 2017-03-31
[CPIAUCSL | 27/139 | pre_release] 2017-03 as of 2017-04-13
[CPIAUCSL | 28/139 | month_open] 2017-04 as of 2017-04-01
[CPIAUCSL | 28/139 | mid_month] 2017-04 as of 2017-04-15
[CPIAUCSL | 28/139 | month_end] 2017-04 as of 2017-04-30
[CPIAUCSL | 28/139 | pre_release] 2017-04 as of 2017-05-11
[CPIAUCSL | 29/139 | month_open] 2017-05 as of 2017-05-01
[CPIAUCSL | 29/139 | mid_month] 2017-05 as of 2017-05-15
[CPIAUCSL | 29/139 | month_end] 2017-05 as of 2017-05-31
[CPIAUCSL | 29/139 | pre_release] 2017-05 as of 2017-06-13
[CPIAUCSL | 30/139 | month_open] 2017-06 as of 2017-06-01
[CPIAUCSL | 30/139 | mid_month] 2017-06 as of 2017-06-15
[CPIAUCSL | 30/139 | month_end] 2017-06 as of 2017-06-30
[CPIAUCSL | 30/139 | pre_release] 2017-06 as of 2017-07-13
[CPIAUCSL | 31/139 | month_open] 2017-07 as of 2017-07-01
[CPIAUCSL | 31/139 | mid_month] 2017-07 as of 2017-07-15
[CPIAUCSL | 31/139 | month_end] 2017-07 as of 2017-07-31
[CPIAUCSL | 31/139 | pre_release] 2017-07 as of 2017-08-10
[CPIAUCSL | 32/139 | month_open] 2017-08 as of 2017-08-01
[CPIAUCSL | 32/139 | mid_month] 2017-08 as of 2017-08-15
[CPIAUCSL | 32/139 | month_end] 2017-08 as of 2017-08-31
[CPIAUCSL | 32/139 | pre_release] 2017-08 as of 2017-09-13
[CPIAUCSL | 33/139 | month_open] 2017-09 as of 2017-09-01
[CPIAUCSL | 33/139 | mid_month] 2017-09 as of 2017-09-15
[CPIAUCSL | 33/139 | month_end] 2017-09 as of 2017-09-30
[CPIAUCSL | 33/139 | pre_release] 2017-09 as of 2017-10-12
[CPIAUCSL | 34/139 | month_open] 2017-10 as of 2017-10-01
[CPIAUCSL | 34/139 | mid_month] 2017-10 as of 2017-10-15
[CPIAUCSL | 34/139 | month_end] 2017-10 as of 2017-10-31
[CPIAUCSL | 34/139 | pre_release] 2017-10 as of 2017-11-14
[CPIAUCSL | 35/139 | month_open] 2017-11 as of 2017-11-01
[CPIAUCSL | 35/139 | mid_month] 2017-11 as of 2017-11-15
[CPIAUCSL | 35/139 | month_end] 2017-11 as of 2017-11-30
[CPIAUCSL | 35/139 | pre_release] 2017-11 as of 2017-12-12
[CPIAUCSL | 36/139 | month_open] 2017-12 as of 2017-12-01
[CPIAUCSL | 36/139 | mid_month] 2017-12 as of 2017-12-15
[CPIAUCSL | 36/139 | month_end] 2017-12 as of 2017-12-31
[CPIAUCSL | 36/139 | pre_release] 2017-12 as of 2018-01-11
[CPIAUCSL | 37/139 | month_open] 2018-01 as of 2018-01-01
[CPIAUCSL | 37/139 | mid_month] 2018-01 as of 2018-01-15
[CPIAUCSL | 37/139 | month_end] 2018-01 as of 2018-01-31
[CPIAUCSL | 37/139 | pre_release] 2018-01 as of 2018-02-13
[CPIAUCSL | 38/139 | month_open] 2018-02 as of 2018-02-01
[CPIAUCSL | 38/139 | mid_month] 2018-02 as of 2018-02-15
[CPIAUCSL | 38/139 | month_end] 2018-02 as of 2018-02-28
[CPIAUCSL | 38/139 | pre_release] 2018-02 as of 2018-03-12
[CPIAUCSL | 39/139 | month_open] 2018-03 as of 2018-03-01
[CPIAUCSL | 39/139 | mid_month] 2018-03 as of 2018-03-15
[CPIAUCSL | 39/139 | month_end] 2018-03 as of 2018-03-31
[CPIAUCSL | 39/139 | pre_release] 2018-03 as of 2018-04-10
[CPIAUCSL | 40/139 | month_open] 2018-04 as of 2018-04-01
[CPIAUCSL | 40/139 | mid_month] 2018-04 as of 2018-04-15
[CPIAUCSL | 40/139 | month_end] 2018-04 as of 2018-04-30
[CPIAUCSL | 40/139 | pre_release] 2018-04 as of 2018-05-09
[CPIAUCSL | 41/139 | month_open] 2018-05 as of 2018-05-01
[CPIAUCSL | 41/139 | mid_month] 2018-05 as of 2018-05-15
[CPIAUCSL | 41/139 | month_end] 2018-05 as of 2018-05-31
[CPIAUCSL | 41/139 | pre_release] 2018-05 as of 2018-06-11
[CPIAUCSL | 42/139 | month_open] 2018-06 as of 2018-06-01
[CPIAUCSL | 42/139 | mid_month] 2018-06 as of 2018-06-15
[CPIAUCSL | 42/139 | month_end] 2018-06 as of 2018-06-30
[CPIAUCSL | 42/139 | pre_release] 2018-06 as of 2018-07-11
[CPIAUCSL | 43/139 | month_open] 2018-07 as of 2018-07-01
[CPIAUCSL | 43/139 | mid_month] 2018-07 as of 2018-07-15
[CPIAUCSL | 43/139 | month_end] 2018-07 as of 2018-07-31
[CPIAUCSL | 43/139 | pre_release] 2018-07 as of 2018-08-09
[CPIAUCSL | 44/139 | month_open] 2018-08 as of 2018-08-01
[CPIAUCSL | 44/139 | mid_month] 2018-08 as of 2018-08-15
[CPIAUCSL | 44/139 | month_end] 2018-08 as of 2018-08-31
[CPIAUCSL | 44/139 | pre_release] 2018-08 as of 2018-09-12
[CPIAUCSL | 45/139 | month_open] 2018-09 as of 2018-09-01
[CPIAUCSL | 45/139 | mid_month] 2018-09 as of 2018-09-15
[CPIAUCSL | 45/139 | month_end] 2018-09 as of 2018-09-30
[CPIAUCSL | 45/139 | pre_release] 2018-09 as of 2018-10-10
[CPIAUCSL | 46/139 | month_open] 2018-10 as of 2018-10-01
[CPIAUCSL | 46/139 | mid_month] 2018-10 as of 2018-10-15
[CPIAUCSL | 46/139 | month_end] 2018-10 as of 2018-10-31
[CPIAUCSL | 46/139 | pre_release] 2018-10 as of 2018-11-13
[CPIAUCSL | 47/139 | month_open] 2018-11 as of 2018-11-01
[CPIAUCSL | 47/139 | mid_month] 2018-11 as of 2018-11-15
[CPIAUCSL | 47/139 | month_end] 2018-11 as of 2018-11-30
[CPIAUCSL | 47/139 | pre_release] 2018-11 as of 2018-12-11
[CPIAUCSL | 48/139 | month_open] 2018-12 as of 2018-12-01
[CPIAUCSL | 48/139 | mid_month] 2018-12 as of 2018-12-15
[CPIAUCSL | 48/139 | month_end] 2018-12 as of 2018-12-31
[CPIAUCSL | 48/139 | pre_release] 2018-12 as of 2019-01-10
[CPIAUCSL | 49/139 | month_open] 2019-01 as of 2019-01-01
[CPIAUCSL | 49/139 | mid_month] 2019-01 as of 2019-01-15
[CPIAUCSL | 49/139 | month_end] 2019-01 as of 2019-01-31
[CPIAUCSL | 49/139 | pre_release] 2019-01 as of 2019-02-12
[CPIAUCSL | 50/139 | month_open] 2019-02 as of 2019-02-01
[CPIAUCSL | 50/139 | mid_month] 2019-02 as of 2019-02-15
[CPIAUCSL | 50/139 | month_end] 2019-02 as of 2019-02-28
[CPIAUCSL | 50/139 | pre_release] 2019-02 as of 2019-03-11
[CPIAUCSL | 51/139 | month_open] 2019-03 as of 2019-03-01
[CPIAUCSL | 51/139 | mid_month] 2019-03 as of 2019-03-15
[CPIAUCSL | 51/139 | month_end] 2019-03 as of 2019-03-31
[CPIAUCSL | 51/139 | pre_release] 2019-03 as of 2019-04-09
[CPIAUCSL | 52/139 | month_open] 2019-04 as of 2019-04-01
[CPIAUCSL | 52/139 | mid_month] 2019-04 as of 2019-04-15
[CPIAUCSL | 52/139 | month_end] 2019-04 as of 2019-04-30
[CPIAUCSL | 52/139 | pre_release] 2019-04 as of 2019-05-09
[CPIAUCSL | 53/139 | month_open] 2019-05 as of 2019-05-01
[CPIAUCSL | 53/139 | mid_month] 2019-05 as of 2019-05-15
[CPIAUCSL | 53/139 | month_end] 2019-05 as of 2019-05-31
[CPIAUCSL | 53/139 | pre_release] 2019-05 as of 2019-06-11
[CPIAUCSL | 54/139 | month_open] 2019-06 as of 2019-06-01
[CPIAUCSL | 54/139 | mid_month] 2019-06 as of 2019-06-15
[CPIAUCSL | 54/139 | month_end] 2019-06 as of 2019-06-30
[CPIAUCSL | 54/139 | pre_release] 2019-06 as of 2019-07-10
[CPIAUCSL | 55/139 | month_open] 2019-07 as of 2019-07-01
[CPIAUCSL | 55/139 | mid_month] 2019-07 as of 2019-07-15
[CPIAUCSL | 55/139 | month_end] 2019-07 as of 2019-07-31
[CPIAUCSL | 55/139 | pre_release] 2019-07 as of 2019-08-12
[CPIAUCSL | 56/139 | month_open] 2019-08 as of 2019-08-01
[CPIAUCSL | 56/139 | mid_month] 2019-08 as of 2019-08-15
[CPIAUCSL | 56/139 | month_end] 2019-08 as of 2019-08-31
[CPIAUCSL | 56/139 | pre_release] 2019-08 as of 2019-09-11
[CPIAUCSL | 57/139 | month_open] 2019-09 as of 2019-09-01
[CPIAUCSL | 57/139 | mid_month] 2019-09 as of 2019-09-15
[CPIAUCSL | 57/139 | month_end] 2019-09 as of 2019-09-30
