[PAYEMS | 1/127 | month_open] 2016-01 as of 2016-01-01
[PAYEMS | 1/127 | after_week_1] 2016-01 as of 2016-01-07
[PAYEMS | 1/127 | after_week_2] 2016-01 as of 2016-01-14
[PAYEMS | 1/127 | month_end] 2016-01 as of 2016-01-31
[PAYEMS | 1/127 | pre_employment_report] 2016-01 as of 2016-02-04
[PAYEMS | 2/127 | month_open] 2016-02 as of 2016-02-01
[PAYEMS | 2/127 | after_week_1] 2016-02 as of 2016-02-07
[PAYEMS | 2/127 | after_week_2] 2016-02 as of 2016-02-14
[PAYEMS | 2/127 | month_end] 2016-02 as of 2016-02-29
[PAYEMS | 2/127 | pre_employment_report] 2016-02 as of 2016-03-03
[PAYEMS | 3/127 | month_open] 2016-03 as of 2016-03-01
[PAYEMS | 3/127 | after_week_1] 2016-03 as of 2016-03-07
[PAYEMS | 3/127 | after_week_2] 2016-03 as of 2016-03-14
[PAYEMS | 3/127 | month_end] 2016-03 as of 2016-03-31
[PAYEMS | 3/127 | pre_employment_report] 2016-03 as of 2016-03-31
[PAYEMS | 4/127 | month_open] 2016-04 as of 2016-04-01
[PAYEMS | 4/127 | after_week_1] 2016-04 as of 2016-04-07
[PAYEMS | 4/127 | after_week_2] 2016-04 as of 2016-04-14
[PAYEMS | 4/127 | month_end] 2016-04 as of 2016-04-30
[PAYEMS | 4/127 | pre_employment_report] 2016-04 as of 2016-05-05
[PAYEMS | 5/127 | month_open] 2016-05 as of 2016-05-01
[PAYEMS | 5/127 | after_week_1] 2016-05 as of 2016-05-07
[PAYEMS | 5/127 | after_week_2] 2016-05 as of 2016-05-14
[PAYEMS | 5/127 | month_end] 2016-05 as of 2016-05-31
[PAYEMS | 5/127 | pre_employment_report] 2016-05 as of 2016-06-02
[PAYEMS | 6/127 | month_open] 2016-06 as of 2016-06-01
[PAYEMS | 6/127 | after_week_1] 2016-06 as of 2016-06-07
[PAYEMS | 6/127 | after_week_2] 2016-06 as of 2016-06-14
[PAYEMS | 6/127 | month_end] 2016-06 as of 2016-06-30
[PAYEMS | 6/127 | pre_employment_report] 2016-06 as of 2016-07-07
[PAYEMS | 7/127 | month_open] 2016-07 as of 2016-07-01
[PAYEMS | 7/127 | after_week_1] 2016-07 as of 2016-07-07
[PAYEMS | 7/127 | after_week_2] 2016-07 as of 2016-07-14
[PAYEMS | 7/127 | month_end] 2016-07 as of 2016-07-31
[PAYEMS | 7/127 | pre_employment_report] 2016-07 as of 2016-08-04
[PAYEMS | 8/127 | month_open] 2016-08 as of 2016-08-01
[PAYEMS | 8/127 | after_week_1] 2016-08 as of 2016-08-07
[PAYEMS | 8/127 | after_week_2] 2016-08 as of 2016-08-14
[PAYEMS | 8/127 | month_end] 2016-08 as of 2016-08-31
[PAYEMS | 8/127 | pre_employment_report] 2016-08 as of 2016-09-01
[PAYEMS | 9/127 | month_open] 2016-09 as of 2016-09-01
[PAYEMS | 9/127 | after_week_1] 2016-09 as of 2016-09-07
[PAYEMS | 9/127 | after_week_2] 2016-09 as of 2016-09-14
[PAYEMS | 9/127 | month_end] 2016-09 as of 2016-09-30
[PAYEMS | 9/127 | pre_employment_report] 2016-09 as of 2016-10-06
[PAYEMS | 10/127 | month_open] 2016-10 as of 2016-10-01
[PAYEMS | 10/127 | after_week_1] 2016-10 as of 2016-10-07
[PAYEMS | 10/127 | after_week_2] 2016-10 as of 2016-10-14
[PAYEMS | 10/127 | month_end] 2016-10 as of 2016-10-31
[PAYEMS | 10/127 | pre_employment_report] 2016-10 as of 2016-11-03
[PAYEMS | 11/127 | month_open] 2016-11 as of 2016-11-01
[PAYEMS | 11/127 | after_week_1] 2016-11 as of 2016-11-07
[PAYEMS | 11/127 | after_week_2] 2016-11 as of 2016-11-14
[PAYEMS | 11/127 | month_end] 2016-11 as of 2016-11-30
[PAYEMS | 11/127 | pre_employment_report] 2016-11 as of 2016-12-01
[PAYEMS | 12/127 | month_open] 2016-12 as of 2016-12-01
[PAYEMS | 12/127 | after_week_1] 2016-12 as of 2016-12-07
[PAYEMS | 12/127 | after_week_2] 2016-12 as of 2016-12-14
[PAYEMS | 12/127 | month_end] 2016-12 as of 2016-12-31
[PAYEMS | 12/127 | pre_employment_report] 2016-12 as of 2017-01-05
[PAYEMS | 13/127 | month_open] 2017-01 as of 2017-01-01
[PAYEMS | 13/127 | after_week_1] 2017-01 as of 2017-01-07
[PAYEMS | 13/127 | after_week_2] 2017-01 as of 2017-01-14
[PAYEMS | 13/127 | month_end] 2017-01 as of 2017-01-31
[PAYEMS | 13/127 | pre_employment_report] 2017-01 as of 2017-02-02
[PAYEMS | 14/127 | month_open] 2017-02 as of 2017-02-01
[PAYEMS | 14/127 | after_week_1] 2017-02 as of 2017-02-07
[PAYEMS | 14/127 | after_week_2] 2017-02 as of 2017-02-14
[PAYEMS | 14/127 | month_end] 2017-02 as of 2017-02-28
[PAYEMS | 14/127 | pre_employment_report] 2017-02 as of 2017-03-09
[PAYEMS | 15/127 | month_open] 2017-03 as of 2017-03-01
[PAYEMS | 15/127 | after_week_1] 2017-03 as of 2017-03-07
[PAYEMS | 15/127 | after_week_2] 2017-03 as of 2017-03-14
[PAYEMS | 15/127 | month_end] 2017-03 as of 2017-03-31
[PAYEMS | 15/127 | pre_employment_report] 2017-03 as of 2017-04-06
[PAYEMS | 16/127 | month_open] 2017-04 as of 2017-04-01
[PAYEMS | 16/127 | after_week_1] 2017-04 as of 2017-04-07
[PAYEMS | 16/127 | after_week_2] 2017-04 as of 2017-04-14
[PAYEMS | 16/127 | month_end] 2017-04 as of 2017-04-30
[PAYEMS | 16/127 | pre_employment_report] 2017-04 as of 2017-05-04
[PAYEMS | 17/127 | month_open] 2017-05 as of 2017-05-01
[PAYEMS | 17/127 | after_week_1] 2017-05 as of 2017-05-07
[PAYEMS | 17/127 | after_week_2] 2017-05 as of 2017-05-14
[PAYEMS | 17/127 | month_end] 2017-05 as of 2017-05-31
[PAYEMS | 17/127 | pre_employment_report] 2017-05 as of 2017-06-01
[PAYEMS | 18/127 | month_open] 2017-06 as of 2017-06-01
[PAYEMS | 18/127 | after_week_1] 2017-06 as of 2017-06-07
[PAYEMS | 18/127 | after_week_2] 2017-06 as of 2017-06-14
[PAYEMS | 18/127 | month_end] 2017-06 as of 2017-06-30
[PAYEMS | 18/127 | pre_employment_report] 2017-06 as of 2017-07-06
[PAYEMS | 19/127 | month_open] 2017-07 as of 2017-07-01
[PAYEMS | 19/127 | after_week_1] 2017-07 as of 2017-07-07
[PAYEMS | 19/127 | after_week_2] 2017-07 as of 2017-07-14
[PAYEMS | 19/127 | month_end] 2017-07 as of 2017-07-31
[PAYEMS | 19/127 | pre_employment_report] 2017-07 as of 2017-08-03
[PAYEMS | 20/127 | month_open] 2017-08 as of 2017-08-01
[PAYEMS | 20/127 | after_week_1] 2017-08 as of 2017-08-07
[PAYEMS | 20/127 | after_week_2] 2017-08 as of 2017-08-14
[PAYEMS | 20/127 | month_end] 2017-08 as of 2017-08-31
[PAYEMS | 20/127 | pre_employment_report] 2017-08 as of 2017-08-31
[PAYEMS | 21/127 | month_open] 2017-09 as of 2017-09-01
[PAYEMS | 21/127 | after_week_1] 2017-09 as of 2017-09-07
[PAYEMS | 21/127 | after_week_2] 2017-09 as of 2017-09-14
[PAYEMS | 21/127 | month_end] 2017-09 as of 2017-09-30
[PAYEMS | 21/127 | pre_employment_report] 2017-09 as of 2017-10-05
[PAYEMS | 22/127 | month_open] 2017-10 as of 2017-10-01
[PAYEMS | 22/127 | after_week_1] 2017-10 as of 2017-10-07
[PAYEMS | 22/127 | after_week_2] 2017-10 as of 2017-10-14
[PAYEMS | 22/127 | month_end] 2017-10 as of 2017-10-31
[PAYEMS | 22/127 | pre_employment_report] 2017-10 as of 2017-11-02
[PAYEMS | 23/127 | month_open] 2017-11 as of 2017-11-01
[PAYEMS | 23/127 | after_week_1] 2017-11 as of 2017-11-07
[PAYEMS | 23/127 | after_week_2] 2017-11 as of 2017-11-14
[PAYEMS | 23/127 | month_end] 2017-11 as of 2017-11-30
[PAYEMS | 23/127 | pre_employment_report] 2017-11 as of 2017-12-07
[PAYEMS | 24/127 | month_open] 2017-12 as of 2017-12-01
[PAYEMS | 24/127 | after_week_1] 2017-12 as of 2017-12-07
[PAYEMS | 24/127 | after_week_2] 2017-12 as of 2017-12-14
[PAYEMS | 24/127 | month_end] 2017-12 as of 2017-12-31
