target_series,forecast_stage,fixed_observations,fixed_rmse,fixed_mae,fixed_bias,fixed_median_ae,fixed_p90_abs_error,fixed_max_abs_error,fixed_model_name,shadow_observations,shadow_rmse,shadow_mae,shadow_bias,shadow_median_ae,shadow_p90_abs_error,shadow_max_abs_error,shadow_model_name,shadow_to_fixed_rmse_ratio,shadow_to_fixed_mae_ratio,shadow_to_fixed_p90_abs_error_ratio,shadow_to_fixed_max_abs_error_ratio,absolute_bias_improved,shadow_rmse_improved,shadow_mae_improved,shadow_tail_improved
CPIAUCSL,mid_month,52,3.7637770595416367,2.54490867524743,-0.18758744955861573,1.7372813732124617,6.604552061864095,12.045452228227331,Inflation Ridge-AR Ensemble,52,3.9139831295055094,2.604311562550203,-0.20318380234630323,1.3215375819068702,6.838079509393849,12.718300125766284,Adaptive shadow,1.0399083334606873,1.02334185422076,1.0353585595725991,1.0558590814848943,False,False,False,False
CPIAUCSL,month_end,52,3.7710209779686474,2.552056571608357,-0.2107138543490197,1.7044526615549378,6.591130219725019,12.045452228227331,Inflation Ridge-AR Ensemble,52,3.9210013131596155,2.5957179370419903,-0.21200068259702426,1.2747476274194884,6.838079509393849,12.718300125766284,Adaptive shadow,1.0397718114184977,1.017108306265373,1.0374669110511265,1.0558590814848943,False,False,False,False
CPIAUCSL,month_open,50,4.077393395651397,2.8149881012473124,-0.219287865686865,1.9891783160953342,6.441077825321669,12.43334014178372,Inflation Ridge-AR Ensemble,50,4.050659431059685,2.8336002691668183,-0.28088823828211895,2.073489002633493,6.441077825321669,12.43334014178372,Adaptive shadow,0.9934433688394592,1.0066118105121862,1.0,1.0,False,True,False,False
CPIAUCSL,pre_release,52,3.75723300505557,2.551014365081187,-0.22064631691477204,1.6754580527482363,6.613441183311063,12.084114132779508,Inflation Ridge-AR Ensemble,52,3.9200285036375955,2.6094602398579143,-0.22395376852440282,1.2747476274194884,6.86287676669986,12.795623934870637,Adaptive shadow,1.0433285607687826,1.0229108371856883,1.0377164590226107,1.0588797651423267,False,False,False,False
CPILFESL,mid_month,52,1.5993351131509026,1.2434010328099352,0.09537637806146398,1.04777555828501,2.7644000701029436,3.8023384573057033,Inflation Ridge-AR Ensemble,52,1.5333906682490457,1.208441231878045,0.1895576016116246,1.04777555828501,2.606859711771122,3.7891481684312502,Adaptive shadow,0.9587675876308764,0.9718837285723616,0.943011013479697,0.9965310061104345,False,True,True,True
CPILFESL,month_end,52,1.602748935479115,1.2460377844661203,0.0852332439175074,0.9941915405137012,2.7644000701029436,3.8023384573057033,Inflation Ridge-AR Ensemble,52,1.5354109147070547,1.205563371238879,0.18667974097245815,0.9972974639771996,2.606859711771122,3.7891481684312502,Adaptive shadow,0.9579859207631103,0.9675175073085097,0.943011013479697,0.9965310061104345,False,True,True,True
CPILFESL,month_open,50,1.5756530261346244,1.203791860875457,-0.5741907954402219,0.824602526830942,2.784586428053828,4.063709934766457,Inflation 12-Month Mean,50,1.843837251379435,1.3786755195587153,-0.23845541689037567,0.9877574680935934,3.203463194128789,4.707282039045601,Adaptive shadow,1.170205128157382,1.145277322739227,1.150426922236965,1.1583705812201701,True,False,False,False
CPILFESL,pre_release,52,1.5883563319763627,1.2362225259468822,0.07033422657536842,1.0078288437590786,2.764628802529981,3.7866558453564814,Inflation Ridge-AR Ensemble,52,1.528548330250314,1.2088570162738335,0.18825270001945238,1.0637603710287618,2.60708844419816,3.777892337467938,Adaptive shadow,0.9623459796004146,0.9778636053795507,0.9430157284812877,0.9976856867255867,False,True,True,True
PCEPI,mid_month,50,2.5130898665584214,1.8874618265866394,-0.28235930197093995,1.2965500553680942,4.351664681478974,7.060879805108045,Inflation Bridge Ridge,50,2.5443057492068815,1.892317415406272,-0.17121062164916784,1.3055441638707428,4.394405860244706,7.060879805108045,Adaptive shadow,1.012421315713317,1.0025725494159603,1.0098217996776364,1.0,True,False,False,False
PCEPI,month_end,52,2.590195770655794,1.8559645412021983,-0.24699632957029294,1.1615184913175005,4.52160570589767,8.429098374391652,Inflation Bridge Ridge,52,2.628356528520984,1.9028934756723797,0.034033763131231964,1.3786119110229311,4.713774554150544,8.429098374391652,Adaptive shadow,1.0147327697379138,1.0252854693224813,1.042500133968387,1.0,True,False,False,False
PCEPI,month_open,49,2.605636449671579,1.9733041944808059,-0.2708919460304417,1.460987634599035,4.498825214815963,7.430755247722713,Inflation Bridge Ridge,49,2.630463530518204,1.9217479662760952,-0.15434236275942512,1.4141836812477688,4.642269932004635,7.430755247722713,Adaptive shadow,1.0095282213486667,0.9738731472071515,1.0318849278065452,1.0,True,False,True,False
PCEPI,pre_release,52,2.606120626654602,1.9024531717974154,-0.33097659879655666,1.2438105793545573,4.367197436968282,8.383809532034473,Inflation Bridge Ridge,52,2.5375886200571185,1.818853504967519,-0.06893973945648516,1.2225776596209936,4.045970149191533,8.383809532034473,Adaptive shadow,0.9737034403179349,0.9560569121651954,0.9264454395723988,1.0,True,True,True,True
PCEPILFE,mid_month,50,1.652765860162662,1.2183847199233209,0.14485497489533178,0.9612749140645094,2.7593428370077615,5.014881246814687,Inflation Ridge-AR Ensemble,50,1.6477570543935534,1.2818445364822864,-0.12954825033507134,0.9631900065935284,2.6277040299792387,5.014881246814687,Adaptive shadow,0.9969694402033354,1.0520852038943491,0.9522934210048098,1.0,True,True,False,True
PCEPILFE,month_end,52,1.6101991583568822,1.12432311022553,0.17869541195543837,0.6675813057994855,2.846367940342023,4.73984566622258,Inflation Ridge-AR Ensemble,52,1.7261265322351258,1.285002534509609,-0.09200496686463737,0.8638710641868386,2.686995130171121,4.860375298756107,Adaptive shadow,1.0719956741230328,1.1429121422682915,0.944008359596774,1.0254290204831886,True,False,False,True
PCEPILFE,month_open,49,1.6860922139252856,1.3155056952052147,-0.1605064548778355,1.0327282233141921,3.1024605494038977,4.0954290969981715,Inflation Bridge Ridge,49,1.6613129316739093,1.3270657529995105,-0.318731307650954,1.0325447559359269,2.7460131017439555,4.0954290969981715,Adaptive shadow,0.9853037206110516,1.0087875391466796,0.8851081449759516,1.0,False,True,False,True
PCEPILFE,pre_release,52,1.5824803329536354,1.1166445954339037,0.16748158146619235,0.6873448819816126,2.7803761937053686,4.740604295254696,Inflation Ridge-AR Ensemble,52,1.6972462107371762,1.2563473941206822,-0.14376559610004536,0.7596641595493803,2.686995130171121,4.936242962335603,Adaptive shadow,1.0725227829968256,1.1251094567224347,0.9664142342515888,1.0412687191117682,True,False,False,True
