target_series,forecast_stage,observations,rmse,mae,bias,median_ae,p90_abs_error,max_abs_error,model_name
CPIAUCSL,mid_month,76,3.597720445315624,2.510364564114002,0.16781844140286403,1.7372813732124617,6.207961712137163,12.045452228227331,Inflation Ridge-AR Ensemble
CPIAUCSL,month_end,76,3.6027184602702027,2.514358107293976,0.1526850073465582,1.7044526615549378,6.179084107942526,12.045452228227331,Inflation Ridge-AR Ensemble
CPIAUCSL,month_open,74,4.024220624541882,2.904122583095629,0.2622747664934212,2.0751032518519867,6.369108923021613,12.43334014178372,Inflation Ridge-AR Ensemble
CPIAUCSL,pre_release,76,3.5859942070429813,2.501347892050883,0.14641534400314749,1.6754580527482363,6.1827093971635065,12.084114132779508,Inflation Ridge-AR Ensemble
CPILFESL,mid_month,76,2.167796179667286,1.5495454874372876,0.2690771858746593,1.1370843517090354,3.639114878831682,7.905652782199156,Inflation Ridge-AR Ensemble
CPILFESL,month_end,76,2.169482571567393,1.5509842143618109,0.26177178040961163,1.1074510697628859,3.639114878831682,7.905652782199156,Inflation Ridge-AR Ensemble
CPILFESL,month_open,74,2.622496574182021,1.7974108741004093,-0.0031387787834480673,1.222302133227382,3.4642689908382795,9.674864409281625,Inflation 12-Month Mean
CPILFESL,pre_release,76,2.163802129177375,1.5424257964867782,0.2571971770634232,1.0787339477939444,3.635295694881135,7.905652782199156,Inflation Ridge-AR Ensemble
PCEPI,mid_month,74,2.3724120150293735,1.7860230752949333,0.05016961742677885,1.223789215576993,3.8611819735608726,7.060879805108045,Inflation Bridge Ridge
PCEPI,month_end,76,2.393892852703059,1.7179379295024277,0.02737905577259649,1.1129679328051656,3.9626658358244944,8.429098374391652,Inflation Bridge Ridge
PCEPI,month_open,73,2.5848227944852167,2.0273617275504656,0.08624324689630025,1.5205449136943305,4.242279823422197,7.430755247722713,Inflation Bridge Ridge
PCEPI,pre_release,76,2.4035020036452317,1.743996820220768,-0.02858748541590673,1.1550089330540734,3.893072633453819,8.383809532034473,Inflation Bridge Ridge
PCEPILFE,mid_month,74,1.9187835787989127,1.4548791212124341,0.3799911302226468,1.0713870136895949,2.969478748478436,6.4334346607716135,Inflation Ridge-AR Ensemble
PCEPILFE,month_end,76,1.8101746871065003,1.3255097441600872,0.3988300267535074,0.9217573851398816,2.823971918520098,6.002563462444363,Inflation Ridge-AR Ensemble
PCEPILFE,month_open,73,1.875459824196668,1.4501303398938887,0.17685782733413735,1.2891097270437277,3.2420516675470377,5.99300314964644,Inflation Bridge Ridge
PCEPILFE,pre_release,76,1.7935494438261557,1.3171489117768107,0.3911107257057655,0.9249938285708592,2.8233530141908583,5.990691499838828,Inflation Ridge-AR Ensemble
