target_series,forecast_stage,observations,coverage,average_half_width,mean_interval_score,median_interval_score
CPIAUCSL,mid_month,52,0.8269230769230769,4.594926989826264,14.162878560245629,8.664179290065038
CPIAUCSL,month_end,52,0.8461538461538461,4.620457654178969,14.191018416339924,8.93033003532
CPIAUCSL,month_open,50,0.86,5.010761509293166,15.232748635765429,8.856109441102255
CPIAUCSL,pre_release,52,0.8269230769230769,4.542639282151314,14.231840864442491,8.772592267335027
CPILFESL,mid_month,52,0.8846153846153846,2.5763638897768084,5.937437661266174,4.9071762969259645
CPILFESL,month_end,52,0.9038461538461539,2.5928738179850894,5.944665636309229,4.9071762969259645
CPILFESL,month_open,50,0.88,2.737914863939043,6.234280503404371,6.2724413600030005
CPILFESL,pre_release,52,0.8846153846153846,2.5579036793981795,5.963555757525634,4.938561203317164
PCEPI,mid_month,50,0.82,3.419885273175476,9.721131794510157,7.224276461148985
PCEPI,month_end,52,0.8269230769230769,3.357192399659444,9.998391236441696,7.100669076007976
PCEPI,month_open,49,0.8163265306122449,3.5333967481881734,9.574532935739752,7.467784584300151
PCEPI,pre_release,52,0.8269230769230769,3.319756197691494,9.793533560056497,6.932416936233981
PCEPILFE,mid_month,50,0.84,2.4372914850899585,6.080097061427122,5.1675350939876346
PCEPILFE,month_end,52,0.8461538461538461,2.2097396985722124,6.220305756568852,4.6746594392948815
PCEPILFE,month_open,49,0.8163265306122449,2.523907171654734,6.18910646070945,5.409272748342229
PCEPILFE,pre_release,52,0.8461538461538461,2.127155621444309,6.076241778754598,4.624078441316536
