target_series,forecast_stage,fixed_observations,fixed_rmse,fixed_mae,fixed_bias,fixed_median_ae,fixed_p90_abs_error,fixed_max_abs_error,fixed_directional_accuracy,fixed_model_name,shadow_observations,shadow_rmse,shadow_mae,shadow_bias,shadow_median_ae,shadow_p90_abs_error,shadow_max_abs_error,shadow_directional_accuracy,shadow_model_name,shadow_to_fixed_rmse_ratio,shadow_to_fixed_mae_ratio,shadow_to_fixed_p90_abs_error_ratio,shadow_to_fixed_max_abs_error_ratio,absolute_bias_improved,directional_accuracy_improved,shadow_rmse_improved,shadow_mae_improved,shadow_tail_improved
CES0500000003,after_week_1,85,4.035946993520351,2.1807458585556954,0.3672830577221119,1.2548230342156774,4.297158288627918,27.779954775578755,0.9294117647058824,Labour Bridge Ridge,85,5.632326772188116,2.411100679745824,0.6698064740957446,1.1262899870786605,4.297158288627918,43.5370897949255,0.9294117647058824,Adaptive shadow,1.3955403233072008,1.1056312088299423,1.0,1.5672124071706113,False,False,False,False,False
CES0500000003,after_week_2,86,5.934314497898328,2.278563546731809,0.8865457291353127,1.049177791473744,4.355234393379879,49.14539260794535,0.9534883720930233,Labour Equal-Weight Ensemble,86,6.117457469292748,2.322012261057809,0.8662412626673271,1.0003963318778946,4.355234393379879,50.89018195946801,0.9534883720930233,Adaptive shadow,1.0308616894940907,1.0190684672316117,1.0,1.0355026027656677,True,False,False,False,False
CES0500000003,month_end,86,6.146638822805276,2.278876501508988,0.9011150735359522,1.0636818306424292,4.402148936545672,51.35824160433704,0.9534883720930233,Labour Equal-Weight Ensemble,86,6.624244748258402,2.5196407150336326,0.7009118912936683,1.0818748838948289,4.402148936545672,51.896898894225615,0.9418604651162791,Adaptive shadow,1.077701966753132,1.1056503998199199,1.0,1.0104882346642314,True,False,False,False,False
CES0500000003,month_open,85,4.741846335324113,2.260718206809335,0.4941559909180416,1.2916666734003748,4.146852915050495,34.72343076406564,0.9294117647058824,Labour Bridge Ridge,85,6.534037831520449,2.5516021411098575,0.8722601403109078,1.1074573401647747,4.630127272361577,50.46271414838619,0.9411764705882353,Adaptive shadow,1.3779522509714217,1.12866881569953,1.1165400285978546,1.4532755847561214,False,True,False,False,False
CES0500000003,pre_employment_report,86,6.178005496525492,2.2994141563687,0.8979321860120499,1.0383566672395201,4.316262760091202,51.62878922347698,0.9534883720930233,Labour Equal-Weight Ensemble,86,6.623523618606291,2.522133694178523,0.7288514643663407,1.0510386104571392,4.316262760091202,51.896898894225615,0.9418604651162791,Adaptive shadow,1.072113584607744,1.0968592531245211,1.0,1.0051930265028706,True,False,False,False,False
PAYEMS,after_week_1,95,2182.727092732398,530.9660319216929,-30.868434375721375,117.46983771599815,632.2791369730796,19280.56581375182,0.8947368421052632,Labour Equal-Weight Ensemble,95,2264.623260459871,564.881174227375,72.8352271706147,125.0,880.6539195982539,20696.0,0.9052631578947369,Adaptive shadow,1.0375201132565561,1.0638744105398517,1.3928245739915173,1.073412481766413,False,True,False,False,False
PAYEMS,after_week_2,96,2214.2176636312797,625.6376871207837,-68.13197228496574,157.26574644213702,818.2446031695104,18688.930388092347,0.8125,Labour Bridge Ridge,96,2302.9099971888545,596.9917292835403,55.44774167778576,106.83333333333333,1086.625,20696.0,0.8125,Adaptive shadow,1.0400558332698515,0.9542131837212788,1.3279953155705582,1.1073934981954054,True,False,False,True,False
PAYEMS,month_end,96,2201.1866616724515,614.4686950592974,-53.5230430690194,152.79344814654422,821.7577092171991,18457.49077740499,0.8125,Labour Bridge Ridge,96,2304.8749605802873,601.9050426244079,53.155854217947216,105.41666666666667,1086.625,20696.0,0.7916666666666666,Adaptive shadow,1.0471056365701643,0.9795536330232786,1.3223179871778894,1.1212791732956093,True,False,False,True,False
PAYEMS,month_open,95,2281.2913693116684,589.9614035087719,-12.475438596491207,100.58333333333334,1254.6166666666684,20678.083333333332,0.8421052631578947,Labour 12-Month Mean,95,2281.7701746117637,596.0212087093113,7.025992949763658,118.06185630659417,1254.6166666666684,20678.083333333332,0.8315789473684211,Adaptive shadow,1.0002098834487063,1.0102715282126913,1.0,1.0,True,False,False,False,False
PAYEMS,pre_employment_report,96,2196.031485878618,618.0144576587205,-49.75898975976107,163.13394505584176,826.1793384448309,18405.242426154673,0.84375,Labour Bridge Ridge,96,2305.2688457954187,605.7258525239997,56.20087164716142,110.05650900652269,1086.625,20696.0,0.78125,Adaptive shadow,1.049743075461004,0.9801159908438473,1.3152410735003641,1.1244622331401655,False,False,False,True,False
UNRATE,after_week_1,94,1.5802555836141132,0.5135447001528337,0.2730619203496651,0.2374976721573785,0.5114440985555793,11.690227996624888,0.4787234042553192,Labour Equal-Weight Ensemble,94,1.5767605243502467,0.4892986050073133,0.21296945704288553,0.18132727686063355,0.4971137298339773,11.690227996624888,0.4787234042553192,Adaptive shadow,0.9977882949441171,0.9527867873267807,0.9719805766415649,1.0,True,False,True,True,True
UNRATE,after_week_2,95,1.2693646487432955,0.4176007656323101,0.19822137783080418,0.2383664060461399,0.46277041092627214,11.175082471428953,0.47368421052631576,Labour Equal-Weight Ensemble,95,1.2654354837980915,0.3975560389657899,0.14949317151039537,0.18496511271039662,0.4494478035795642,11.175082471428953,0.4631578947368421,Adaptive shadow,0.9969046207887592,0.9520002636102224,0.9712111945099479,1.0,True,False,True,True,True
UNRATE,month_end,95,1.2069412974588183,0.4034237117083456,0.19364313787627271,0.2209972390004431,0.4516068568950998,10.755355969113106,0.49473684210526314,Labour Equal-Weight Ensemble,95,1.2022144562484363,0.37926504567305913,0.13237811419478965,0.18150593279669858,0.443848682440622,10.755355969113106,0.4842105263157895,Adaptive shadow,0.996083619625632,0.9401158996505591,0.9828209551382434,1.0,True,False,True,True,True
UNRATE,month_open,94,1.9668312955445106,0.616403079032538,0.16090567629330094,0.24490421240202398,0.5745150635891251,12.073759074205531,0.5,Labour Equal-Weight Ensemble,94,2.792525003021043,0.6956668303381371,-0.02987435716117557,0.20449733389846214,0.5591785891152697,22.460492552059343,0.48936170212765956,Adaptive shadow,1.4198091159861994,1.1285907776937225,0.9733053570814229,1.860273375840678,True,False,False,False,True
UNRATE,pre_employment_report,95,1.1991475028580683,0.3932822457102846,0.1918328921634889,0.20464862585523536,0.44419510390565536,10.700426343632982,0.5157894736842106,Labour Equal-Weight Ensemble,95,1.1937226702522867,0.3598123764814816,0.12110458965117059,0.17439784470161523,0.4410522281157107,10.700426343632982,0.5157894736842106,Adaptive shadow,0.9954760923132042,0.9148960585079172,0.9929245600360957,1.0,True,False,True,True,True
