target_series,forecast_stage,observations,coverage,average_half_width,mean_interval_score,median_interval_score,minimum_prior_errors
CES0500000003,after_week_1,85,0.8235294117647058,3.2626046597269753,12.531032769626554,6.789090529725824,24
CES0500000003,after_week_2,86,0.8023255813953488,2.900102443246454,14.659949623195464,5.682834463208705,24
CES0500000003,month_end,86,0.7906976744186046,2.880086598164013,14.56480431171109,5.892656190032518,24
CES0500000003,month_open,85,0.8235294117647058,3.1576553269209082,14.005946246056125,5.927989110907841,24
CES0500000003,pre_employment_report,86,0.8023255813953488,2.9089777947100828,14.647436973745656,6.140162936086561,24
PAYEMS,after_week_1,95,0.8210526315789474,435.3475306009052,4399.801290464564,717.607823082911,24
PAYEMS,after_week_2,96,0.8333333333333334,598.2290295705563,4921.006100050081,791.9595063280672,24
PAYEMS,month_end,96,0.8229166666666666,598.0779567452362,4910.398264218448,718.6510550898868,24
PAYEMS,month_open,95,0.8421052631578947,654.9236842105263,4630.022807017544,498.83333333333326,24
PAYEMS,pre_employment_report,96,0.8333333333333334,602.9094028948388,4905.610805752474,738.0664040685072,24
UNRATE,after_week_1,94,0.776595744680851,0.46764273291473596,3.638337156152665,0.8546191895785098,24
UNRATE,after_week_2,95,0.7894736842105263,0.4084221723452281,2.7488833244682973,0.8274047348656319,24
UNRATE,month_end,95,0.7789473684210526,0.4117908435164495,2.6507452170001446,0.8378253501368436,24
UNRATE,month_open,94,0.7978723404255319,0.4756778596592152,4.607275846984759,0.9036502235615129,24
UNRATE,pre_employment_report,95,0.7894736842105263,0.3946928150254693,2.6301263764317904,0.753686263771296,24
