target_series,forecast_stage,observations,rmse,mae,bias,median_ae,p90_abs_error,max_abs_error,directional_accuracy,model_name
CES0500000003,after_week_1,109,3.6299204638270477,1.9742606699259984,0.3137106967536318,1.2170416524046104,3.717674304580087,27.779954775578755,0.9357798165137615,Labour Bridge Ridge
CES0500000003,after_week_2,110,5.28546048550786,2.028123309148274,0.7580700867765157,1.0607437094415884,4.1403662283185865,49.14539260794535,0.9545454545454546,Labour Equal-Weight Ensemble
CES0500000003,month_end,110,5.4719913053668146,2.032922598733408,0.7650342270132122,1.0474572616873534,4.09095378462009,51.35824160433704,0.9545454545454546,Labour Equal-Weight Ensemble
CES0500000003,month_open,109,4.269281639033292,2.0842772296747074,0.4193672723352151,1.225341061175908,3.620871861839795,34.72343076406564,0.9357798165137615,Labour Bridge Ridge
CES0500000003,pre_employment_report,110,5.499426108285339,2.0492309221907816,0.761175189016222,1.038697589917751,4.185812499711311,51.62878922347698,0.9545454545454546,Labour Equal-Weight Ensemble
PAYEMS,after_week_1,119,1950.6036907714602,437.14846686414387,-31.035089008146393,104.87713300860048,517.0895277964001,19280.56581375182,0.907563025210084,Labour Equal-Weight Ensemble
PAYEMS,after_week_2,120,1980.9072380882628,515.3543925608489,-59.573195772042496,124.0042782299212,623.0609839344921,18688.930388092347,0.8416666666666667,Labour Bridge Ridge
PAYEMS,month_end,120,1969.351522042895,507.94113950991357,-50.48864205526861,138.22578161069976,583.5085769215285,18457.49077740499,0.8416666666666667,Labour Bridge Ridge
PAYEMS,month_open,119,2038.5438439999023,481.77521008403363,-11.810224089635861,73.08333333333334,1067.8166666666668,20678.083333333332,0.865546218487395,Labour 12-Month Mean
PAYEMS,pre_employment_report,120,1964.7235004210931,510.76918432739757,-47.582869194496666,140.15731934211436,672.6866095452644,18405.242426154673,0.8666666666666667,Labour Bridge Ridge
UNRATE,after_week_1,118,1.4121267501505366,0.43522983105900465,0.23281192963007882,0.168051218053465,0.47231116946107843,11.690227996624888,0.4830508474576271,Labour Equal-Weight Ensemble
UNRATE,after_week_2,119,1.13611095995742,0.3585976181811971,0.17406654140112227,0.18496511271039662,0.4332730280224454,11.175082471428953,0.47058823529411764,Labour Equal-Weight Ensemble
UNRATE,month_end,119,1.0804322350134725,0.34719678418153943,0.1700349276817685,0.1874220965723028,0.4420465206245236,10.755355969113106,0.48739495798319327,Labour Equal-Weight Ensemble
UNRATE,month_open,118,1.7569390516009005,0.5191414700990697,0.13935110247179053,0.21411301950734796,0.5329890141585969,12.073759074205531,0.5254237288135594,Labour Equal-Weight Ensemble
UNRATE,pre_employment_report,119,1.0734927361868718,0.3391890845034747,0.16864989186667584,0.18288172024709626,0.44017564853273045,10.700426343632982,0.5042016806722689,Labour Equal-Weight Ensemble
