target_series,forecast_stage,observations,coverage,average_half_width,mean_interval_score,median_interval_score,minimum_prior_errors
CES0500000003,after_week_1,85,0.8117647058823529,2.984737825739661,15.287815515277952,6.789090529725824,24
CES0500000003,after_week_2,86,0.7790697674418605,2.8458428792641985,14.936022908366333,5.682834463208705,24
CES0500000003,month_end,86,0.8023255813953488,2.872042816183779,16.78214102417305,5.892656190032518,24
CES0500000003,month_open,85,0.7764705882352941,3.037988922494379,17.422716765913204,6.202187675469245,24
CES0500000003,pre_employment_report,86,0.813953488372093,2.8528025090472506,16.71017922181125,6.014853122208695,24
PAYEMS,after_week_1,95,0.8315789473684211,486.20503459148796,4284.935257875924,765.6666666666666,24
PAYEMS,after_week_2,96,0.8333333333333334,547.8897023847499,4519.416557547278,700.2192377194439,24
PAYEMS,month_end,96,0.8125,556.3651382004814,4538.8045433225025,691.3293030972454,24
PAYEMS,month_open,95,0.8421052631578947,662.5587370562039,4645.292912708899,604.239469374889,24
PAYEMS,pre_employment_report,96,0.8229166666666666,552.5280994143292,4535.746403133765,691.4946348953644,24
UNRATE,after_week_1,94,0.776595744680851,0.44010962232472134,3.56600466509115,0.8519597039085194,24
UNRATE,after_week_2,95,0.8,0.38371638523000556,2.6827314644261735,0.7965096665980522,24
UNRATE,month_end,95,0.7684210526315789,0.38416512025691246,2.582603983546596,0.8378253501368431,24
UNRATE,month_open,94,0.8297872340425532,0.43955688795560893,5.649657019755489,0.7984647635871693,24
UNRATE,pre_employment_report,95,0.8,0.3625045452217605,2.5510475322101196,0.7021647573736631,24
