state_date,expected_targets,available_targets,complete_state,state_available_date,latest_actual_as_of_date
2020-02-29,8,8,True,2020-06-29,2020-06-15
2020-03-31,8,8,True,2020-06-29,2020-06-26
2020-04-30,8,8,True,2020-09-28,2020-09-15
2020-05-31,8,8,True,2020-09-28,2020-09-15
2020-06-30,8,8,True,2020-09-28,2020-09-15
2020-07-31,8,8,True,2020-12-29,2020-12-15
2020-08-31,8,8,True,2020-12-29,2020-12-15
2020-09-30,8,8,True,2020-12-29,2020-12-23
2020-10-31,8,8,True,2021-03-31,2021-03-31
2020-11-30,8,8,True,2021-03-31,2021-03-31
2020-12-31,8,8,True,2021-03-31,2021-03-31
2021-01-31,8,8,True,2021-06-29,2021-06-15
2021-02-28,8,8,True,2021-06-29,2021-06-15
2021-03-31,8,8,True,2021-06-29,2021-06-25
2021-04-30,8,8,True,2021-09-28,2021-09-15
2021-05-31,8,8,True,2021-09-28,2021-09-15
2021-06-30,8,8,True,2021-09-28,2021-09-15
2021-07-31,8,8,True,2021-12-29,2021-12-15
2021-08-31,8,8,True,2021-12-29,2021-12-15
2021-09-30,8,8,True,2021-12-29,2021-12-23
2021-10-31,8,8,True,2022-03-31,2022-03-31
2021-11-30,8,8,True,2022-03-31,2022-03-31
2021-12-31,8,8,True,2022-03-31,2022-03-31
2022-01-31,8,8,True,2022-06-29,2022-06-15
2022-02-28,8,8,True,2022-06-29,2022-06-15
2022-03-31,8,8,True,2022-06-29,2022-06-29
2022-04-30,8,8,True,2022-09-28,2022-09-15
2022-05-31,8,8,True,2022-09-28,2022-09-15
2022-06-30,8,8,True,2022-09-28,2022-09-15
2022-07-31,8,8,True,2022-12-29,2022-12-15
2022-08-31,8,8,True,2022-12-29,2022-12-15
2022-09-30,8,8,True,2022-12-29,2022-12-23
2022-10-31,8,8,True,2023-03-31,2023-03-31
2022-11-30,8,8,True,2023-03-31,2023-03-31
2022-12-31,8,8,True,2023-03-31,2023-03-31
2023-01-31,8,8,True,2023-06-29,2023-06-15
2023-02-28,8,8,True,2023-06-29,2023-06-15
2023-03-31,8,8,True,2023-06-29,2023-06-29
2023-04-30,8,8,True,2023-09-28,2023-09-15
2023-05-31,8,8,True,2023-09-28,2023-09-15
2023-06-30,8,8,True,2023-09-28,2023-09-28
2023-07-31,8,8,True,2023-12-29,2023-12-15
2023-08-31,8,8,True,2023-12-29,2023-12-15
2023-09-30,8,8,True,2023-12-29,2023-12-22
2023-10-31,8,8,True,2024-03-30,2024-03-15
2023-11-30,8,8,True,2024-03-30,2024-03-15
2023-12-31,8,8,True,2024-03-30,2024-03-29
2024-01-31,8,8,True,2024-06-29,2024-06-15
2024-02-29,8,8,True,2024-06-29,2024-06-15
2024-03-31,8,8,True,2024-06-29,2024-06-28
2024-04-30,8,8,True,2024-09-28,2024-09-15
2024-05-31,8,8,True,2024-09-28,2024-09-15
2024-06-30,8,8,True,2024-09-28,2024-09-27
2024-07-31,8,8,True,2024-12-29,2024-12-15
2024-08-31,8,8,True,2024-12-29,2024-12-15
2024-09-30,8,8,True,2024-12-29,2024-12-20
2024-10-31,8,8,True,2025-03-31,2025-03-31
2024-11-30,8,8,True,2025-03-31,2025-03-31
2024-12-31,8,8,True,2025-03-31,2025-03-31
2025-01-31,8,8,True,2025-06-29,2025-06-15
2025-02-28,8,8,True,2025-06-29,2025-06-15
2025-03-31,8,8,True,2025-06-29,2025-06-27
2025-04-30,8,8,True,2025-09-28,2025-09-15
2025-05-31,8,8,True,2025-09-28,2025-09-15
2025-06-30,8,8,True,2025-09-28,2025-09-26
2025-07-31,8,8,True,2025-12-29,2025-12-23
2025-08-31,8,8,True,2025-12-29,2025-12-23
2025-09-30,8,8,True,2025-12-29,2025-12-23
2025-11-30,8,8,True,2026-03-31,2026-03-31
2025-12-31,8,8,True,2026-03-31,2026-03-31
2026-01-31,8,7,False,,
2026-02-28,8,7,False,,
2026-03-31,8,7,False,,
