state_date,source_target,target_period,target_mode,actual_value,actual_release_date,requested_evaluation_date,actual_as_of_date,snapshot_gap_days,availability_status,revision_from_initial
2020-02-29,CES0500000003,2020-02,fixed_horizon_90d,3.7928038598243674,2020-03-06,2020-05-29,2020-05-28,1.0,available,0.0
2020-02-29,CPIAUCSL,2020-02,fixed_horizon_90d,1.065904640727311,2020-03-11,2020-05-29,2020-05-28,1.0,available,0.0
2020-02-29,CPILFESL,2020-02,fixed_horizon_90d,2.671935670002057,2020-03-11,2020-05-29,2020-05-28,1.0,available,0.0
2020-02-29,GDPC1,2020Q1,fixed_horizon_90d,-5.17891096186176,2020-04-29,2020-06-29,2020-06-15,14.0,available,-0.2776418436468475
2020-02-29,PAYEMS,2020-02,fixed_horizon_90d,251.0,2020-03-06,2020-05-29,2020-05-15,14.0,available,-22.0
2020-02-29,PCEPI,2020-02,fixed_horizon_90d,0.9212386595947919,2020-03-27,2020-05-29,2020-05-29,0.0,available,-0.1515977907708077
2020-02-29,PCEPILFE,2020-02,fixed_horizon_90d,1.712682739722382,2020-03-27,2020-05-29,2020-05-29,0.0,available,-0.18046474407853452
2020-02-29,UNRATE,2020-02,fixed_horizon_90d,3.5,2020-03-06,2020-05-29,2020-05-28,1.0,available,0.0
2020-03-31,CES0500000003,2020-03,fixed_horizon_90d,7.131641336613903,2020-04-03,2020-06-29,2020-06-25,4.0,available,2.5105958921448845
2020-03-31,CPIAUCSL,2020-03,fixed_horizon_90d,-5.092434572260629,2020-04-10,2020-06-29,2020-06-25,4.0,available,0.0
2020-03-31,CPILFESL,2020-03,fixed_horizon_90d,-1.2362677050838045,2020-04-10,2020-06-29,2020-06-25,4.0,available,0.0
2020-03-31,GDPC1,2020Q1,fixed_horizon_90d,-5.17891096186176,2020-04-29,2020-06-29,2020-06-15,14.0,available,-0.2776418436468475
2020-03-31,PAYEMS,2020-03,fixed_horizon_90d,-1373.0,2020-04-03,2020-06-29,2020-06-15,14.0,available,-672.0
