target_mode,candidate_id,state_date,actual_growth,actual_inflation,actual_labour,growth_lower,growth_upper,inflation_lower,inflation_upper,labour_lower,labour_upper,actual_regime,actual_family,growth_error,inflation_error,labour_error,forecast_growth,forecast_inflation,forecast_labour,forecast_regime,forecast_family,probabilities_json,primary_family,secondary_regime,family_top_probability,family_probability_margin,ambiguity_indicator,alternative_families_json,family_probabilities_json,regime_probabilities_json,threshold_family_consensus,scenario_count,forecast_family_probabilities_json,forecast_top_family
fixed_horizon_90d,expanding_robust_z__policy__equal__sensitive,2020-02-29,-2.0,-0.3425080071187406,1.234668504625204,-1.16825691570391,1.826971671353625,-1.2361279490840893,0.7882723601576347,-0.9042301759773208,1.7640751163699666,demand_slowdown,contraction,2.3293573778248575,0.08285578521818576,-0.7479079555694046,0.3293573778248575,-0.2596522219005548,0.4867605490557994,disinflationary_expansion,benign_expansion,"{""balanced_expansion"": 0.0859375, ""demand_slowdown"": 0.197265625, ""disinflationary_expansion"": 0.306640625, ""hard_landing_risk"": 0.03515625, ""mixed_transition"": 0.1728515625, ""overheating"": 0.05078125, ""reflation"": 0.1201171875, ""stagflation_risk"": 0.03125}",contraction,demand_slowdown,1.0,1.0,False,[],"{""adverse_supply"": 0.0, ""benign_expansion"": 0.0, ""contraction"": 1.0, ""inflationary_expansion"": 0.0, ""mixed"": 0.0}","{""balanced_expansion"": 0.0, ""demand_slowdown"": 1.0, ""disinflationary_expansion"": 0.0, ""hard_landing_risk"": 0.0, ""mixed_transition"": 0.0, ""overheating"": 0.0, ""reflation"": 0.0, ""stagflation_risk"": 0.0}",True,81,"{""adverse_supply"": 0.03125, ""benign_expansion"": 0.392578125, ""contraction"": 0.232421875, ""inflationary_expansion"": 0.1708984375, ""mixed"": 0.1728515625}",benign_expansion
fixed_horizon_90d,expanding_robust_z__policy__equal__sensitive,2020-03-31,-2.0,-2.0,0.0333333335299999,-0.8461286633118275,1.9079263554709196,-1.2840096927936049,0.26765002596337645,0.3987070533786882,0.5243583708963194,demand_slowdown,contraction,2.530898846079546,1.2534057412977302,0.42819937860750396,0.5308988460795461,-0.7465942587022698,0.46153271213750385,disinflationary_expansion,benign_expansion,"{""balanced_expansion"": 0.10546875, ""demand_slowdown"": 0.248046875, ""disinflationary_expansion"": 0.5517578125, ""hard_landing_risk"": 0.0, ""mixed_transition"": 0.05859375, ""overheating"": 0.0107421875, ""reflation"": 0.0234375, ""stagflation_risk"": 0.001953125}",contraction,demand_slowdown,1.0,1.0,False,[],"{""adverse_supply"": 0.0, ""benign_expansion"": 0.0, ""contraction"": 1.0, ""inflationary_expansion"": 0.0, ""mixed"": 0.0}","{""balanced_expansion"": 0.0, ""demand_slowdown"": 1.0, ""disinflationary_expansion"": 0.0, ""hard_landing_risk"": 0.0, ""mixed_transition"": 0.0, ""overheating"": 0.0, ""reflation"": 0.0, ""stagflation_risk"": 0.0}",True,81,"{""adverse_supply"": 0.001953125, ""benign_expansion"": 0.6572265625, ""contraction"": 0.248046875, ""inflationary_expansion"": 0.0341796875, ""mixed"": 0.05859375}",benign_expansion
fixed_horizon_90d,expanding_robust_z__policy__equal__sensitive,2020-04-30,-2.0,-2.0,-0.6666666663999999,-2.0,-2.0,-2.0,-1.5622238378399091,-1.226167136338003,0.2630711158430499,hard_landing_risk,contraction,0.0,0.07209676133086318,0.25988716286252167,-2.0,-1.9279032386691368,-0.40677950353747827,demand_slowdown,contraction,"{""balanced_expansion"": 0.0, ""demand_slowdown"": 0.5673828125, ""disinflationary_expansion"": 0.0, ""hard_landing_risk"": 0.4326171875, ""mixed_transition"": 0.0, ""overheating"": 0.0, ""reflation"": 0.0, ""stagflation_risk"": 0.0}",contraction,demand_slowdown,1.0,1.0,False,[],"{""adverse_supply"": 0.0, ""benign_expansion"": 0.0, ""contraction"": 1.0, ""inflationary_expansion"": 0.0, ""mixed"": 0.0}","{""balanced_expansion"": 0.0, ""demand_slowdown"": 0.5555555555555556, ""disinflationary_expansion"": 0.0, ""hard_landing_risk"": 0.4444444444444444, ""mixed_transition"": 0.0, ""overheating"": 0.0, ""reflation"": 0.0, ""stagflation_risk"": 0.0}",True,81,"{""adverse_supply"": 0.0, ""benign_expansion"": 0.0, ""contraction"": 1.0, ""inflationary_expansion"": 0.0, ""mixed"": 0.0}",contraction
fixed_horizon_90d,expanding_robust_z__policy__equal__sensitive,2020-05-31,-2.0,-0.8741292779885583,-0.6666666668,-2.0,-2.0,-1.7429035983413346,-0.25956141802747235,-2.0,-0.6666666663999999,hard_landing_risk,contraction,0.0,-0.2901832535278137,-0.7086646321797857,-2.0,-1.164312531516372,-1.3753312989797857,hard_landing_risk,contraction,"{""balanced_expansion"": 0.0, ""demand_slowdown"": 0.0615234375, ""disinflationary_expansion"": 0.0, ""hard_landing_risk"": 0.9384765625, ""mixed_transition"": 0.0, ""overheating"": 0.0, ""reflation"": 0.0, ""stagflation_risk"": 0.0}",contraction,demand_slowdown,1.0,1.0,False,[],"{""adverse_supply"": 0.0, ""benign_expansion"": 0.0, ""contraction"": 1.0, ""inflationary_expansion"": 0.0, ""mixed"": 0.0}","{""balanced_expansion"": 0.0, ""demand_slowdown"": 0.5555555555555556, ""disinflationary_expansion"": 0.0, ""hard_landing_risk"": 0.4444444444444444, ""mixed_transition"": 0.0, ""overheating"": 0.0, ""reflation"": 0.0, ""stagflation_risk"": 0.0}",True,81,"{""adverse_supply"": 0.0, ""benign_expansion"": 0.0, ""contraction"": 1.0, ""inflationary_expansion"": 0.0, ""mixed"": 0.0}",contraction
fixed_horizon_90d,expanding_robust_z__policy__equal__sensitive,2020-06-30,-2.0,1.5413860934356414,-0.6666666668,-2.0,-2.0,-1.0624849916462435,0.7398436714983072,-0.6666666668,-0.6666666668,hard_landing_risk,contraction,0.0,-1.6674880941768622,0.0,-2.0,-0.12610200074122088,-0.6666666668,hard_landing_risk,contraction,"{""balanced_expansion"": 0.0, ""demand_slowdown"": 0.0, ""disinflationary_expansion"": 0.0, ""hard_landing_risk"": 1.0, ""mixed_transition"": 0.0, ""overheating"": 0.0, ""reflation"": 0.0, ""stagflation_risk"": 0.0}",adverse_supply,stagflation_risk,0.5555555555555556,0.11111111111111116,True,"[""contraction""]","{""adverse_supply"": 0.5555555555555556, ""benign_expansion"": 0.0, ""contraction"": 0.4444444444444444, ""inflationary_expansion"": 0.0, ""mixed"": 0.0}","{""balanced_expansion"": 0.0, ""demand_slowdown"": 0.0, ""disinflationary_expansion"": 0.0, ""hard_landing_risk"": 0.4444444444444444, ""mixed_transition"": 0.0, ""overheating"": 0.0, ""reflation"": 0.0, ""stagflation_risk"": 0.5555555555555556}",False,81,"{""adverse_supply"": 0.0, ""benign_expansion"": 0.0, ""contraction"": 1.0, ""inflationary_expansion"": 0.0, ""mixed"": 0.0}",contraction
fixed_horizon_90d,expanding_robust_z__policy__equal__sensitive,2020-07-31,2.0,2.0,-0.6666666668,2.0,2.0,0.04380775192525714,1.7726835225511501,-0.6666666668,0.3964936446690821,reflation,inflationary_expansion,0.0,-0.8305223910204684,0.0,2.0,1.1694776089795316,-0.6666666668,reflation,inflationary_expansion,"{""balanced_expansion"": 0.0, ""demand_slowdown"": 0.0, ""disinflationary_expansion"": 0.01953125, ""hard_landing_risk"": 0.0, ""mixed_transition"": 0.03515625, ""overheating"": 0.0078125, ""reflation"": 0.9375, ""stagflation_risk"": 0.0}",inflationary_expansion,reflation,1.0,1.0,False,[],"{""adverse_supply"": 0.0, ""benign_expansion"": 0.0, ""contraction"": 0.0, ""inflationary_expansion"": 1.0, ""mixed"": 0.0}","{""balanced_expansion"": 0.0, ""demand_slowdown"": 0.0, ""disinflationary_expansion"": 0.0, ""hard_landing_risk"": 0.0, ""mixed_transition"": 0.0, ""overheating"": 0.0, ""reflation"": 1.0, ""stagflation_risk"": 0.0}",True,81,"{""adverse_supply"": 0.0, ""benign_expansion"": 0.01953125, ""contraction"": 0.0, ""inflationary_expansion"": 0.9453125, ""mixed"": 0.03515625}",inflationary_expansion
fixed_horizon_90d,expanding_robust_z__policy__equal__sensitive,2020-08-31,2.0,1.9084137178517495,0.3722078992117051,2.0,2.0,-0.022627177763871673,1.5907821994371911,-2.0,-0.29940880504224066,overheating,inflationary_expansion,0.0,-0.8962661284515696,-1.0388745660117051,2.0,1.01214758940018,-0.6666666668,reflation,inflationary_expansion,"{""balanced_expansion"": 0.0, ""demand_slowdown"": 0.0, ""disinflationary_expansion"": 0.0146484375, ""hard_landing_risk"": 0.0, ""mixed_transition"": 0.056640625, ""overheating"": 0.0712890625, ""reflation"": 0.857421875, ""stagflation_risk"": 0.0}",inflationary_expansion,reflation,1.0,1.0,False,[],"{""adverse_supply"": 0.0, ""benign_expansion"": 0.0, ""contraction"": 0.0, ""inflationary_expansion"": 1.0, ""mixed"": 0.0}","{""balanced_expansion"": 0.0, ""demand_slowdown"": 0.0, ""disinflationary_expansion"": 0.0, ""hard_landing_risk"": 0.0, ""mixed_transition"": 0.0, ""overheating"": 0.3333333333333333, ""reflation"": 0.6666666666666666, ""stagflation_risk"": 0.0}",True,81,"{""adverse_supply"": 0.0, ""benign_expansion"": 0.0146484375, ""contraction"": 0.0, ""inflationary_expansion"": 0.9287109375, ""mixed"": 0.056640625}",inflationary_expansion
fixed_horizon_90d,expanding_robust_z__policy__equal__sensitive,2020-09-30,2.0,0.041143889157877214,-0.6666666668,2.0,2.0,-1.1735688130480981,1.088788112904933,-2.0,0.6666666668,mixed_transition,mixed,0.0,-0.050065123625084265,0.0,2.0,-0.008921234467207047,-0.6666666668,mixed_transition,mixed,"{""balanced_expansion"": 0.0, ""demand_slowdown"": 0.0, ""disinflationary_expansion"": 0.2412109375, ""hard_landing_risk"": 0.0, ""mixed_transition"": 0.3251953125, ""overheating"": 0.0556640625, ""reflation"": 0.3779296875, ""stagflation_risk"": 0.0}",mixed,mixed_transition,0.8888888888888888,0.7777777777777777,False,"[""inflationary_expansion""]","{""adverse_supply"": 0.0, ""benign_expansion"": 0.0, ""contraction"": 0.0, ""inflationary_expansion"": 0.1111111111111111, ""mixed"": 0.8888888888888888}","{""balanced_expansion"": 0.0, ""demand_slowdown"": 0.0, ""disinflationary_expansion"": 0.0, ""hard_landing_risk"": 0.0, ""mixed_transition"": 0.8888888888888888, ""overheating"": 0.0, ""reflation"": 0.1111111111111111, ""stagflation_risk"": 0.0}",True,81,"{""adverse_supply"": 0.0, ""benign_expansion"": 0.2412109375, ""contraction"": 0.0, ""inflationary_expansion"": 0.43359375, ""mixed"": 0.3251953125}",inflationary_expansion
fixed_horizon_90d,expanding_robust_z__policy__equal__sensitive,2020-10-31,2.0,-1.8299136666892284,-0.6666666668,1.2219696723574027,2.0,-2.0,-0.12572420285294966,-2.0,-0.6666666663999999,disinflationary_expansion,benign_expansion,0.0,0.5557634512774332,-0.7747931119275354,2.0,-1.2741502154117952,-1.4414597787275354,mixed_transition,mixed,"{""balanced_expansion"": 0.0, ""demand_slowdown"": 0.0, ""disinflationary_expansion"": 0.099609375, ""hard_landing_risk"": 0.0, ""mixed_transition"": 0.8662109375, ""overheating"": 0.0, ""reflation"": 0.0341796875, ""stagflation_risk"": 0.0}",mixed,mixed_transition,0.7777777777777778,0.5555555555555556,False,"[""benign_expansion""]","{""adverse_supply"": 0.0, ""benign_expansion"": 0.2222222222222222, ""contraction"": 0.0, ""inflationary_expansion"": 0.0, ""mixed"": 0.7777777777777778}","{""balanced_expansion"": 0.0, ""demand_slowdown"": 0.0, ""disinflationary_expansion"": 0.2222222222222222, ""hard_landing_risk"": 0.0, ""mixed_transition"": 0.7777777777777778, ""overheating"": 0.0, ""reflation"": 0.0, ""stagflation_risk"": 0.0}",False,81,"{""adverse_supply"": 0.0, ""benign_expansion"": 0.099609375, ""contraction"": 0.0, ""inflationary_expansion"": 0.0341796875, ""mixed"": 0.8662109375}",mixed
fixed_horizon_90d,expanding_robust_z__policy__equal__sensitive,2020-11-30,2.0,-1.2409926407330145,0.16808136073543783,2.0,2.0,-1.7595657902500086,0.399400713385578,-1.6357669455333648,0.5034703773504898,disinflationary_expansion,benign_expansion,0.0,0.49545485586554794,-0.8347480275354378,2.0,-0.7455377848674666,-0.6666666668,disinflationary_expansion,benign_expansion,"{""balanced_expansion"": 0.0, ""demand_slowdown"": 0.0, ""disinflationary_expansion"": 0.4228515625, ""hard_landing_risk"": 0.0, ""mixed_transition"": 0.423828125, ""overheating"": 0.005859375, ""reflation"": 0.1474609375, ""stagflation_risk"": 0.0}",benign_expansion,disinflationary_expansion,1.0,1.0,False,[],"{""adverse_supply"": 0.0, ""benign_expansion"": 1.0, ""contraction"": 0.0, ""inflationary_expansion"": 0.0, ""mixed"": 0.0}","{""balanced_expansion"": 0.0, ""demand_slowdown"": 0.0, ""disinflationary_expansion"": 1.0, ""hard_landing_risk"": 0.0, ""mixed_transition"": 0.0, ""overheating"": 0.0, ""reflation"": 0.0, ""stagflation_risk"": 0.0}",True,81,"{""adverse_supply"": 0.0, ""benign_expansion"": 0.4228515625, ""contraction"": 0.0, ""inflationary_expansion"": 0.1533203125, ""mixed"": 0.423828125}",mixed
