horizon_months,dimension,target_level,outcome_type,observations,groups_observed,minimum_group_support,maximum_group_share,eta_squared
1,growth,eight_state,future_level,71,8,5,0.2676056338028169,0.4861675759151218
1,growth,eight_state,forward_change,71,8,5,0.2676056338028169,0.19755732674126533
1,growth,five_family,future_level,71,5,6,0.43661971830985913,0.42588074337528264
1,growth,five_family,forward_change,71,5,6,0.43661971830985913,0.13686223955107538
1,inflation,eight_state,future_level,71,8,5,0.2676056338028169,0.36383269872625745
1,inflation,eight_state,forward_change,71,8,5,0.2676056338028169,0.28355415828577907
1,inflation,five_family,future_level,71,5,6,0.43661971830985913,0.3012227067235163
1,inflation,five_family,forward_change,71,5,6,0.43661971830985913,0.1703840161693715
1,labour,eight_state,future_level,71,8,5,0.2676056338028169,0.22186438717934648
1,labour,eight_state,forward_change,71,8,5,0.2676056338028169,0.19565072440336498
1,labour,five_family,future_level,71,5,6,0.43661971830985913,0.19731774149932796
1,labour,five_family,forward_change,71,5,6,0.43661971830985913,0.037742423493706274
3,growth,eight_state,future_level,67,8,5,0.2835820895522388,0.17664656450222438
3,growth,eight_state,forward_change,67,8,5,0.2835820895522388,0.5044260343019452
3,growth,five_family,future_level,67,5,6,0.417910447761194,0.08615150434868167
3,growth,five_family,forward_change,67,5,6,0.417910447761194,0.42078024757680904
3,inflation,eight_state,future_level,67,8,5,0.2835820895522388,0.2599499516354576
3,inflation,eight_state,forward_change,67,8,5,0.2835820895522388,0.26836768366051633
3,inflation,five_family,future_level,67,5,6,0.417910447761194,0.1106883914381406
3,inflation,five_family,forward_change,67,5,6,0.417910447761194,0.12359941621818256
3,labour,eight_state,future_level,67,8,5,0.2835820895522388,0.24333014033538683
3,labour,eight_state,forward_change,67,8,5,0.2835820895522388,0.18374360197416603
3,labour,five_family,future_level,67,5,6,0.417910447761194,0.184916651308563
3,labour,five_family,forward_change,67,5,6,0.417910447761194,0.04101943660212282
6,growth,eight_state,future_level,62,8,3,0.27419354838709675,0.2761965621383213
6,growth,eight_state,forward_change,62,8,3,0.27419354838709675,0.705889902788495
6,growth,five_family,future_level,62,5,5,0.41935483870967744,0.18884731339258476
6,growth,five_family,forward_change,62,5,5,0.41935483870967744,0.6797489831872278
6,inflation,eight_state,future_level,62,8,3,0.27419354838709675,0.26774009627421214
6,inflation,eight_state,forward_change,62,8,3,0.27419354838709675,0.2833969426894674
6,inflation,five_family,future_level,62,5,5,0.41935483870967744,0.23571479027233758
6,inflation,five_family,forward_change,62,5,5,0.41935483870967744,0.2047395278959551
6,labour,eight_state,future_level,62,8,3,0.27419354838709675,0.21220818005152312
6,labour,eight_state,forward_change,62,8,3,0.27419354838709675,0.2977189217041841
6,labour,five_family,future_level,62,5,5,0.41935483870967744,0.1681563851950313
6,labour,five_family,forward_change,62,5,5,0.41935483870967744,0.06431705471805327
