comparison_type,left_threshold,right_threshold,months,regime_agreement,family_agreement,label,count,share
pairwise_agreement,sensitive,baseline,73,0.6438356164383562,0.7123287671232876,,,
pairwise_agreement,sensitive,conservative,73,0.4657534246575342,0.5753424657534246,,,
pairwise_agreement,baseline,conservative,73,0.7534246575342466,0.7945205479452054,,,
occupancy,sensitive,,73,,,hard_landing_risk,5.0,0.0684931506849315
occupancy,sensitive,,73,,,stagflation_risk,6.0,0.0821917808219178
occupancy,sensitive,,73,,,overheating,6.0,0.0821917808219178
occupancy,sensitive,,73,,,disinflationary_expansion,20.0,0.273972602739726
occupancy,sensitive,,73,,,balanced_expansion,13.0,0.1780821917808219
occupancy,sensitive,,73,,,reflation,5.0,0.0684931506849315
occupancy,sensitive,,73,,,demand_slowdown,11.0,0.1506849315068493
occupancy,sensitive,,73,,,mixed_transition,7.0,0.0958904109589041
occupancy,baseline,,73,,,hard_landing_risk,0.0,0.0
occupancy,baseline,,73,,,stagflation_risk,4.0,0.0547945205479452
occupancy,baseline,,73,,,overheating,5.0,0.0684931506849315
occupancy,baseline,,73,,,disinflationary_expansion,13.0,0.1780821917808219
occupancy,baseline,,73,,,balanced_expansion,6.0,0.0821917808219178
occupancy,baseline,,73,,,reflation,8.0,0.1095890410958904
occupancy,baseline,,73,,,demand_slowdown,14.0,0.1917808219178082
occupancy,baseline,,73,,,mixed_transition,23.0,0.3150684931506849
occupancy,conservative,,73,,,hard_landing_risk,0.0,0.0
occupancy,conservative,,73,,,stagflation_risk,2.0,0.0273972602739726
occupancy,conservative,,73,,,overheating,2.0,0.0273972602739726
occupancy,conservative,,73,,,disinflationary_expansion,7.0,0.0958904109589041
occupancy,conservative,,73,,,balanced_expansion,6.0,0.0821917808219178
occupancy,conservative,,73,,,reflation,9.0,0.1232876712328767
occupancy,conservative,,73,,,demand_slowdown,10.0,0.136986301369863
occupancy,conservative,,73,,,mixed_transition,37.0,0.5068493150684932
