actual_regime,predicted_regime,count
hard_landing_risk,hard_landing_risk,2
hard_landing_risk,stagflation_risk,0
hard_landing_risk,overheating,0
hard_landing_risk,disinflationary_expansion,0
hard_landing_risk,balanced_expansion,0
hard_landing_risk,reflation,0
hard_landing_risk,demand_slowdown,1
hard_landing_risk,mixed_transition,0
stagflation_risk,hard_landing_risk,0
stagflation_risk,stagflation_risk,0
stagflation_risk,overheating,0
stagflation_risk,disinflationary_expansion,1
stagflation_risk,balanced_expansion,0
stagflation_risk,reflation,4
stagflation_risk,demand_slowdown,0
stagflation_risk,mixed_transition,1
overheating,hard_landing_risk,0
overheating,stagflation_risk,0
overheating,overheating,1
overheating,disinflationary_expansion,0
overheating,balanced_expansion,0
overheating,reflation,5
overheating,demand_slowdown,0
overheating,mixed_transition,0
disinflationary_expansion,hard_landing_risk,0
disinflationary_expansion,stagflation_risk,0
disinflationary_expansion,overheating,0
disinflationary_expansion,disinflationary_expansion,11
disinflationary_expansion,balanced_expansion,2
disinflationary_expansion,reflation,1
disinflationary_expansion,demand_slowdown,1
disinflationary_expansion,mixed_transition,2
balanced_expansion,hard_landing_risk,0
balanced_expansion,stagflation_risk,0
balanced_expansion,overheating,0
balanced_expansion,disinflationary_expansion,3
balanced_expansion,balanced_expansion,1
balanced_expansion,reflation,1
balanced_expansion,demand_slowdown,0
balanced_expansion,mixed_transition,0
reflation,hard_landing_risk,0
reflation,stagflation_risk,0
reflation,overheating,1
reflation,disinflationary_expansion,1
reflation,balanced_expansion,0
reflation,reflation,3
reflation,demand_slowdown,0
reflation,mixed_transition,0
demand_slowdown,hard_landing_risk,0
demand_slowdown,stagflation_risk,0
demand_slowdown,overheating,0
demand_slowdown,disinflationary_expansion,4
demand_slowdown,balanced_expansion,1
demand_slowdown,reflation,1
demand_slowdown,demand_slowdown,0
demand_slowdown,mixed_transition,2
mixed_transition,hard_landing_risk,0
mixed_transition,stagflation_risk,0
mixed_transition,overheating,0
mixed_transition,disinflationary_expansion,0
mixed_transition,balanced_expansion,1
mixed_transition,reflation,1
mixed_transition,demand_slowdown,0
mixed_transition,mixed_transition,2
