event_type,actual_date,actual_from_regime,actual_to_regime,predicted_date,predicted_from_regime,predicted_to_regime,matched,lead_lag_months
actual_transition,2020-04-30,demand_slowdown,hard_landing_risk,2020-05-31,demand_slowdown,hard_landing_risk,True,1.0
actual_transition,2020-07-31,hard_landing_risk,reflation,2020-07-31,hard_landing_risk,reflation,True,0.0
actual_transition,2020-08-31,reflation,overheating,,,,False,
actual_transition,2020-09-30,overheating,mixed_transition,2020-09-30,reflation,mixed_transition,True,0.0
actual_transition,2020-10-31,mixed_transition,disinflationary_expansion,2020-11-30,mixed_transition,disinflationary_expansion,True,1.0
actual_transition,2020-12-31,disinflationary_expansion,reflation,2021-01-31,disinflationary_expansion,reflation,True,1.0
actual_transition,2021-02-28,reflation,disinflationary_expansion,,,,False,
actual_transition,2021-03-31,disinflationary_expansion,reflation,2021-03-31,mixed_transition,reflation,True,0.0
actual_transition,2021-04-30,reflation,overheating,,,,False,
actual_transition,2021-07-31,overheating,mixed_transition,,,,False,
actual_transition,2021-08-31,mixed_transition,balanced_expansion,,,,False,
actual_transition,2021-10-31,balanced_expansion,overheating,2021-11-30,reflation,overheating,True,1.0
actual_transition,2021-11-30,overheating,reflation,2021-10-31,disinflationary_expansion,reflation,True,-1.0
actual_transition,2021-12-31,reflation,overheating,,,,False,
actual_transition,2022-01-31,overheating,stagflation_risk,,,,False,
actual_transition,2022-04-30,stagflation_risk,demand_slowdown,,,,False,
actual_transition,2022-05-31,demand_slowdown,stagflation_risk,,,,False,
actual_transition,2022-07-31,stagflation_risk,disinflationary_expansion,2022-08-31,reflation,disinflationary_expansion,True,1.0
actual_transition,2022-08-31,disinflationary_expansion,balanced_expansion,2022-09-30,disinflationary_expansion,balanced_expansion,True,1.0
actual_transition,2022-10-31,balanced_expansion,disinflationary_expansion,2022-10-31,balanced_expansion,disinflationary_expansion,True,0.0
actual_transition,2023-01-31,disinflationary_expansion,stagflation_risk,,,,False,
actual_transition,2023-02-28,stagflation_risk,demand_slowdown,2022-12-31,balanced_expansion,demand_slowdown,True,-2.0
actual_transition,2023-04-30,demand_slowdown,balanced_expansion,,,,False,
actual_transition,2023-05-31,balanced_expansion,disinflationary_expansion,2023-04-30,mixed_transition,disinflationary_expansion,True,-1.0
actual_transition,2023-09-30,disinflationary_expansion,mixed_transition,,,,False,
actual_transition,2023-10-31,mixed_transition,disinflationary_expansion,2023-11-30,balanced_expansion,disinflationary_expansion,True,1.0
actual_transition,2024-01-31,disinflationary_expansion,demand_slowdown,,,,False,
actual_transition,2024-04-30,demand_slowdown,disinflationary_expansion,2024-03-31,balanced_expansion,disinflationary_expansion,True,-1.0
actual_transition,2024-07-31,disinflationary_expansion,mixed_transition,2024-07-31,disinflationary_expansion,mixed_transition,True,0.0
false_predicted_transition,,,,2020-04-30,disinflationary_expansion,demand_slowdown,False,
false_predicted_transition,,,,2021-02-28,reflation,mixed_transition,False,
false_predicted_transition,,,,2021-09-30,reflation,disinflationary_expansion,False,
false_predicted_transition,,,,2022-01-31,overheating,reflation,False,
false_predicted_transition,,,,2022-05-31,reflation,mixed_transition,False,
false_predicted_transition,,,,2022-06-30,mixed_transition,reflation,False,
false_predicted_transition,,,,2022-11-30,disinflationary_expansion,balanced_expansion,False,
false_predicted_transition,,,,2023-01-31,demand_slowdown,disinflationary_expansion,False,
false_predicted_transition,,,,2023-02-28,disinflationary_expansion,mixed_transition,False,
false_predicted_transition,,,,2023-09-30,disinflationary_expansion,balanced_expansion,False,
false_predicted_transition,,,,2024-02-29,disinflationary_expansion,balanced_expansion,False,
