check_id,passed,observed
v036_source_evidence_read_only,True,model1d_fixed_horizon_c99ac096-a9cb-4e39-b976-b0d4cfe018a1_benchmark_predictions.csv
fixed_horizon_target_locked,True,True
latest_revised_substitution_prohibited,True,True
rolling_frequency_no_lookahead,True,True
every_top2_miss_classified,True,18
every_audit_row_unique,True,42
retrospective_report_only,True,report_only
prospective_shadow_preserved,True,True
dimension_attribution_unavailable_documented,True,"{'available_columns': [], 'missing_columns': ['growth_score', 'inflation_score', 'labour_score'], 'documented_unavailable_misses': 18, 'total_top2_misses': 18, 'reason': 'The frozen v0.3.6 benchmark predictions contain no monthly growth, inflation, or labour score fields. The only located score evidence is an undated three-row aggregate vintage-agreement table and cannot be joined causally.'}"
source_brier_reconciles_v036,True,"{'observed': 0.5759485288855845, 'expected': 0.5759485288855845, 'absolute_difference': 0.0}"
rolling_brier_reconciles_v036,True,"{'observed': 0.5998922202625907, 'expected': 0.5998922202625906, 'absolute_difference': 1.1102230246251565e-16}"
source_log_loss_reconciles_v036,True,"{'observed': 1.55272035996925, 'expected': 1.55272035996925, 'absolute_difference': 0.0}"
rolling_log_loss_reconciles_v036,True,"{'observed': 1.7544983447037996, 'expected': 1.7544983447037996, 'absolute_difference': 0.0}"
source_top2_reconciles_v036,True,"{'observed': 0.5714285714285714, 'expected': 0.5714285714285714, 'absolute_difference': 0.0}"
rolling_top2_reconciles_v036,True,"{'observed': 0.5952380952380952, 'expected': 0.5952380952380952, 'absolute_difference': 0.0}"
