model,actual_family_rank,fold_months,share,mean_actual_family_probability,top1_coverage,top2_coverage,top3_coverage
source,1,20,0.47619047619047616,0.40888671875,,,
source,2,4,0.09523809523809523,0.23876953125,,,
source,3,12,0.2857142857142857,0.193359375,,,
source,4,6,0.14285714285714285,0.12125651041666667,,,
source,0,42,1.0,0.29001581101190477,0.47619047619047616,0.5714285714285714,0.8571428571428571
rolling_frequency,1,16,0.38095238095238093,0.43229166666666674,,,
rolling_frequency,2,9,0.21428571428571427,0.25,,,
rolling_frequency,3,4,0.09523809523809523,0.16666666666666666,,,
rolling_frequency,4,9,0.21428571428571427,0.14814814814814814,,,
rolling_frequency,5,4,0.09523809523809523,0.08333333333333333,,,
rolling_frequency,0,42,1.0,0.27380952380952384,0.38095238095238093,0.5952380952380952,0.6904761904761905
